codigo_venda,data,total
207278,"2018-10-03 09:25:11",119.89
207279,"2018-10-03 09:25:18",54.79
207392,"2018-10-03 09:46:37",54.79
207462,"2018-10-03 09:58:56",124.08
207496,"2018-10-03 10:04:44",56.36
207511,"2018-10-03 10:08:23",54.79
207536,"2018-10-03 10:12:06",62.04
207539,"2018-10-03 10:13:19",54.79
207541,"2018-10-03 10:13:40",54.79
207582,"2018-10-03 10:20:08",57.85
207666,"2018-10-03 10:32:47",62.04
207690,"2018-10-03 10:37:05",57.85
207733,"2018-10-03 10:43:24",56.36
207746,"2018-10-03 10:45:42",164.78
207774,"2018-10-03 10:48:38",57.85
207786,"2018-10-03 10:51:21",54.79
207805,"2018-10-03 10:54:41",112.72
207823,"2018-10-03 10:58:04",57.85
207860,"2018-10-03 11:02:16",57.85
207880,"2018-10-03 11:06:16",56.36
208000,"2018-10-03 11:24:49",56.36
208030,"2018-10-03 11:30:02",54.79
208060,"2018-10-03 11:35:00",57.85
208078,"2018-10-03 11:37:47",62.04
208123,"2018-10-03 11:45:27",54.79
208150,"2018-10-03 11:48:19",99.68
208156,"2018-10-03 11:49:11",54.79
208167,"2018-10-03 11:51:08",106.93
208199,"2018-10-03 11:54:14",54.79
208257,"2018-10-03 12:03:09",62.04
208298,"2018-10-03 12:09:18",44.89
208302,"2018-10-03 12:09:31",101.25
208343,"2018-10-03 12:16:46",212.4
208362,"2018-10-03 12:21:20",101.25
208389,"2018-10-03 12:25:52",56.36
208413,"2018-10-03 12:29:28",114.21
208430,"2018-10-03 12:32:09",178.87
208451,"2018-10-03 12:35:59",119.89
208476,"2018-10-03 12:39:27",62.04
208510,"2018-10-03 12:46:20",99.68
208570,"2018-10-03 12:53:16",57.85
208652,"2018-10-03 13:03:23",62.04
208688,"2018-10-03 13:10:26",44.89
208732,"2018-10-03 13:18:29",44.89
208767,"2018-10-03 13:22:54",112.64
208817,"2018-10-03 13:30:35",57.85
208836,"2018-10-03 13:33:49",222.63
208873,"2018-10-03 13:38:26",56.36
208924,"2018-10-03 13:45:27",56.36
208926,"2018-10-03 13:45:40",106.93
208968,"2018-10-03 13:52:30",54.79
209032,"2018-10-03 14:01:52",56.36
209049,"2018-10-03 14:03:28",44.89
209058,"2018-10-03 14:04:06",57.85
209085,"2018-10-03 14:08:09",101.25
209092,"2018-10-03 14:08:37",62.04
209133,"2018-10-03 14:12:55",62.04
209170,"2018-10-03 14:17:31",54.79
209193,"2018-10-03 14:19:51",57.85
209208,"2018-10-03 14:22:31",44.89
209504,"2018-10-03 15:07:34",44.89
209548,"2018-10-03 15:13:33",44.89
209569,"2018-10-03 15:15:42",44.89
209648,"2018-10-03 15:26:10",57.85
209664,"2018-10-03 15:28:01",56.36
209673,"2018-10-03 15:29:45",57.85
209758,"2018-10-03 15:39:59",54.79
209808,"2018-10-03 15:47:47",57.85
209841,"2018-10-03 15:52:38",44.89
209855,"2018-10-03 15:54:58",109.58
209867,"2018-10-03 15:56:40",57.85
209883,"2018-10-03 15:58:45",54.79
209889,"2018-10-03 15:59:07",111.15
209917,"2018-10-03 16:03:55",112.72
209924,"2018-10-03 16:04:42",62.04
209926,"2018-10-03 16:05:13",54.79
209941,"2018-10-03 16:06:54",57.85
209986,"2018-10-03 16:14:25",62.04
210007,"2018-10-03 16:17:04",54.79
210073,"2018-10-03 16:25:08",114.21
210078,"2018-10-03 16:25:49",115.7
210080,"2018-10-03 16:26:19",54.79
210270,"2018-10-03 16:53:42",118.4
210288,"2018-10-03 16:58:06",57.85
210306,"2018-10-03 17:01:11",54.79
210327,"2018-10-03 17:04:51",44.89
210335,"2018-10-03 17:05:41",44.89
210433,"2018-10-03 17:24:12",57.85
210444,"2018-10-03 17:26:18",56.36
210450,"2018-10-03 17:27:03",44.89
210497,"2018-10-03 17:35:03",57.85
210517,"2018-10-03 17:39:47",226.82
210532,"2018-10-03 17:44:16",44.89
210541,"2018-10-03 17:45:01",112.72
210567,"2018-10-03 17:49:14",54.79
210600,"2018-10-03 17:58:08",118.4
210624,"2018-10-03 18:04:31",62.04
210726,"2018-10-03 18:26:33",99.68
210748,"2018-10-03 18:34:15",54.79
210758,"2018-10-03 18:37:21",112.72
210772,"2018-10-03 18:40:26",44.89
210832,"2018-10-03 18:50:11",62.04
210854,"2018-10-03 18:55:45",62.04
210873,"2018-10-03 18:59:15",56.36
210885,"2018-10-03 19:01:33",57.85
210898,"2018-10-03 19:03:40",56.36
210913,"2018-10-03 19:06:14",44.89
211036,"2018-10-03 19:28:17",99.68
211048,"2018-10-03 19:30:00",57.85
211068,"2018-10-03 19:35:04",57.85
211151,"2018-10-03 19:51:21",99.68
211194,"2018-10-03 20:00:15",62.04
211239,"2018-10-03 20:07:48",54.79
211285,"2018-10-03 20:15:13",57.85
211360,"2018-10-03 20:28:20",56.36
211528,"2018-10-03 20:53:30",44.89
211534,"2018-10-03 20:54:08",221.14
211686,"2018-10-03 21:13:39",112.64
211724,"2018-10-03 21:20:34",62.04
211795,"2018-10-03 21:30:36",62.04
211902,"2018-10-03 21:44:23",111.15
211911,"2018-10-03 21:44:54",101.25
211913,"2018-10-03 21:44:58",44.89
211930,"2018-10-03 21:47:42",106.93
211935,"2018-10-03 21:48:26",116.83
211981,"2018-10-03 21:54:56",116.83
212068,"2018-10-03 22:07:31",116.83
212119,"2018-10-03 22:16:19",62.04
212155,"2018-10-03 22:22:31",118.4
212308,"2018-10-03 22:46:16",57.85
212373,"2018-10-03 22:56:15",62.04
212419,"2018-10-03 23:05:22",44.89
212462,"2018-10-03 23:15:30",57.85
212478,"2018-10-03 23:19:25",62.04
212526,"2018-10-03 23:26:16",54.79
212556,"2018-10-03 23:33:11",44.89
212692,"2018-10-04 00:09:10",114.21
212753,"2018-10-04 00:26:39",44.89
212976,"2018-10-04 04:54:39",56.36
213004,"2018-10-04 05:48:49",114.21
213059,"2018-10-04 06:53:28",112.64
213106,"2018-10-04 07:16:58",101.25
213285,"2018-10-04 08:17:23",115.7
213302,"2018-10-04 08:20:09",62.04
213446,"2018-10-04 08:47:05",251.5
213447,"2018-10-04 08:47:19",54.79
213490,"2018-10-04 08:54:21",119.89
213540,"2018-10-04 09:01:55",54.79
213551,"2018-10-04 09:04:18",44.89
213636,"2018-10-04 09:17:22",56.36
213675,"2018-10-04 09:22:39",116.83
213725,"2018-10-04 09:32:13",112.64
213737,"2018-10-04 09:34:53",56.36
213806,"2018-10-04 09:46:12",62.04
213835,"2018-10-04 09:50:24",44.89
213854,"2018-10-04 09:52:13",54.79
213858,"2018-10-04 09:52:29",44.89
213886,"2018-10-04 09:56:13",57.85
213926,"2018-10-04 10:00:49",54.79
214057,"2018-10-04 10:18:56",99.68
214092,"2018-10-04 10:22:48",62.04
