codigo_venda,data,total
11710,"2018-09-02 22:26:25",116.83
11712,"2018-09-02 22:26:42",54.79
11746,"2018-09-02 22:32:13",56.36
11777,"2018-09-02 22:36:52",56.36
11796,"2018-09-02 22:40:55",111.15
11830,"2018-09-02 22:49:31",62.04
11839,"2018-09-02 22:51:10",57.85
11856,"2018-09-02 22:53:53",54.79
11914,"2018-09-02 23:03:34",54.79
12038,"2018-09-02 23:34:08",62.04
12053,"2018-09-02 23:39:40",44.89
12060,"2018-09-02 23:42:33",181.93
12085,"2018-09-02 23:51:12",62.04
12203,"2018-09-03 00:33:25",57.85
12448,"2018-09-03 06:44:13",213.89
12450,"2018-09-03 06:45:30",44.89
12462,"2018-09-03 06:53:48",118.4
12509,"2018-09-03 07:22:12",116.83
12526,"2018-09-03 07:30:54",114.21
12552,"2018-09-03 07:44:36",57.85
12626,"2018-09-03 08:11:11",54.79
12636,"2018-09-03 08:14:13",54.79
12646,"2018-09-03 08:18:05",54.79
12653,"2018-09-03 08:20:19",62.04
12714,"2018-09-03 08:34:35",57.85
12814,"2018-09-03 08:53:20",54.79
12831,"2018-09-03 08:58:24",119.89
12905,"2018-09-03 09:13:10",54.79
12963,"2018-09-03 09:21:05",57.85
13023,"2018-09-03 09:31:43",44.89
13031,"2018-09-03 09:33:01",44.89
13118,"2018-09-03 09:46:04",56.36
13151,"2018-09-03 09:49:34",111.15
13180,"2018-09-03 09:55:35",56.36
13196,"2018-09-03 09:57:26",44.89
13258,"2018-09-03 10:04:07",101.25
13416,"2018-09-03 10:30:46",116.83
13428,"2018-09-03 10:32:24",57.85
13444,"2018-09-03 10:34:09",57.85
13483,"2018-09-03 10:38:38",112.64
13490,"2018-09-03 10:39:03",62.04
13632,"2018-09-03 10:57:52",44.89
13648,"2018-09-03 11:00:08",62.04
13650,"2018-09-03 11:00:20",54.79
13654,"2018-09-03 11:01:05",62.04
13663,"2018-09-03 11:01:42",54.79
13665,"2018-09-03 11:02:00",54.79
13690,"2018-09-03 11:04:37",54.79
13694,"2018-09-03 11:04:59",112.72
13701,"2018-09-03 11:05:55",56.36
13782,"2018-09-03 11:14:13",57.85
13788,"2018-09-03 11:14:41",124.08
13884,"2018-09-03 11:26:31",112.64
13908,"2018-09-03 11:29:10",89.78
13948,"2018-09-03 11:34:32",101.25
13990,"2018-09-03 11:39:59",119.89
14006,"2018-09-03 11:42:14",383.94
14029,"2018-09-03 11:45:13",112.64
14032,"2018-09-03 11:45:41",54.79
14041,"2018-09-03 11:46:03",106.93
14051,"2018-09-03 11:47:54",114.21
14070,"2018-09-03 11:51:10",44.89
14082,"2018-09-03 11:52:39",57.85
14250,"2018-09-03 12:14:14",57.85
14313,"2018-09-03 12:22:21",44.89
14412,"2018-09-03 12:35:45",56.36
14448,"2018-09-03 12:41:06",89.78
14468,"2018-09-03 12:44:01",44.89
14491,"2018-09-03 12:46:59",62.04
14575,"2018-09-03 12:59:14",101.25
14586,"2018-09-03 13:00:24",116.83
14591,"2018-09-03 13:00:59",119.89
14598,"2018-09-03 13:01:39",44.89
14609,"2018-09-03 13:02:48",62.04
14610,"2018-09-03 13:02:58",62.04
14775,"2018-09-03 13:23:40",219.57
14792,"2018-09-03 13:25:27",62.04
14888,"2018-09-03 13:38:11",112.72
15115,"2018-09-03 14:06:52",56.36
15191,"2018-09-03 14:14:50",44.89
15245,"2018-09-03 14:21:12",119.89
15291,"2018-09-03 14:25:12",62.04
15459,"2018-09-03 14:45:57",62.04
15470,"2018-09-03 14:46:56",54.79
15541,"2018-09-03 14:57:34",54.79
15608,"2018-09-03 15:07:54",223.87
